trade_id,timestamp,action,price,quantity,position_type,prediction,actual_next,pnl,pnl_pct,cumulative_pnl,transaction_cost,fold_id
1,2025-12-19T02:00:00,BUY,85643.44,1.167631753231771,LONG,86728.44789930555,86891.39,0.0,0.0,0.0,149.99999999999997,1
2,2025-12-19T07:00:00,SELL,87953.4,1.167631753231771,LONG,86754.83071180555,88102.78,2543.1368707282095,2.54313687072821,2393.136870728209,154.04577396704286,1
3,2025-12-19T08:00:00,SELL,88102.78,1.1622009756187968,SHORT,86847.86977430555,88105.03,0.0,0.0,0.0,153.58970530609233,1
4,2025-12-22T19:00:00,BUY,88052.43,1.1622009756187968,SHORT,89388.11196180555,88351.03,-94.98511095499552,-0.09276511478978776,2144.5620544671256,153.5019300774087,1
5,2025-12-22T20:00:00,BUY,88351.03,1.156121915663769,LONG,89348.58852430555,88275.06,0.0,0.0,0.0,153.2168430817007,1
6,2025-12-26T02:00:00,SELL,89199.99,1.156121915663769,LONG,88018.44789930555,88844.87,826.8121665479371,0.8094529458230496,2818.1573779333703,154.68909497398357,1
7,2025-12-26T14:00:00,BUY,87380.43,1.176672595659387,LONG,88564.44789930555,87137.81,0.0,0.0,0.0,154.22723606690005,1
8,2025-12-29T02:00:00,SELL,89163.25,1.176672595659387,LONG,88054.93227430555,90123.55,1940.4215077710867,1.8872362209707683,4604.351649637552,157.37392922239025,1
9,2025-12-29T03:00:00,SELL,90123.55,1.1606772219873447,SHORT,88159.34633680555,90143.06,0.0,0.0,0.0,156.90652747445634,1
10,2025-12-29T10:00:00,BUY,87780.01,1.1606772219873447,SHORT,88854.94008680555,87567.66,2567.2671095869996,2.4542641573706407,7014.712231750105,152.826387229232,1
11,2025-12-29T11:00:00,BUY,87567.66,1.2220803003271996,LONG,88837.94008680555,87397.0,0.0,0.0,0.0,160.52206834762518,1
12,2025-12-30T14:00:00,SELL,88875.83,1.2220803003271996,LONG,87922.64321180555,89016.35,1435.7686849516867,1.3416554182217477,8289.958848354174,162.92010152734372,1
13,2025-12-30T15:00:00,SELL,89016.35,1.2165176267995055,SHORT,88005.05727430555,88742.63,0.0,0.0,0.0,162.43493827253127,1
14,2025-12-31T16:00:00,BUY,87656.98,1.2165176267995055,SHORT,88634.33852430555,87620.82,1493.7431744194382,1.3793921341416602,9621.267084501073,159.95439192301757,1
15,2025-12-31T17:00:00,BUY,87620.82,1.2510869800636546,LONG,88584.25258680555,87684.07,0.0,0.0,0.0,164.4319006267516,1
16,2026-01-02T16:00:00,SELL,90376.05,1.2510869800636546,LONG,89169.49477430555,90370.52,3277.429930883905,2.989775632092915,12734.265114758236,169.60244919687278,1
17,2026-01-02T17:00:00,SELL,90370.52,1.247467261610957,SHORT,89246.65102430555,89773.1,0.0,0.0,0.0,169.10139767213735,1
