$id,instrumentId,marketId,timestamp_column,open,high,low,close,tickCount,volume,qaVolume,takerBuyBAVolume,takerBuyQAVolume
13381,1,1,2026-03-08 00:01:00+00:00,67308.6,67342.0,67308.6,67328.86,1408,10.93961,736469.9014612,8.59705,578744.5045351
13380,1,1,2026-03-08 00:02:00+00:00,67328.86,67372.88,67327.14,67372.87,1322,6.55334,441399.8236313,5.93581,399804.6255236
13379,1,1,2026-03-08 00:03:00+00:00,67372.88,67379.61,67360.39,67379.6,1071,4.00501,269812.7289078,2.98639,201192.7656155
13378,1,1,2026-03-08 00:04:00+00:00,67379.61,67392.47,67379.6,67392.47,700,4.05761,273411.0196776,3.05014,205526.4791216
13377,1,1,2026-03-08 00:05:00+00:00,67392.47,67413.01,67379.6,67408.58,1612,3.94423,265835.4498497,1.65615,111626.2144601
13376,1,1,2026-03-08 00:06:00+00:00,67408.58,67408.58,67385.41,67385.42,962,4.79434,323109.9464412,0.59209,39902.9101572
13375,1,1,2026-03-08 00:07:00+00:00,67385.42,67393.59,67385.41,67393.58,526,2.92954,197413.1043931,2.1163,142610.1443794
13374,1,1,2026-03-08 00:08:00+00:00,67393.58,67411.62,67393.58,67411.61,588,2.52451,170162.4193576,1.55483,104802.2569208
13373,1,1,2026-03-08 00:09:00+00:00,67411.62,67431.81,67403.14,67407.86,1214,11.23594,757414.141221,2.06076,138934.0342513
13372,1,1,2026-03-08 00:10:00+00:00,67407.86,67454.58,67407.86,67447.9,1162,5.19641,350432.4884764,2.69763,181933.6615656
13371,1,1,2026-03-08 00:11:00+00:00,67447.91,67452.29,67428.51,67431.8,1818,7.01979,473422.6664022,3.33081,224611.3333693
13370,1,1,2026-03-08 00:12:00+00:00,67431.8,67447.9,67431.79,67437.54,710,4.38245,295548.2341529,3.9184,264251.889316
13369,1,1,2026-03-08 00:13:00+00:00,67437.54,67444.29,67437.53,67444.29,443,1.6821,113436.8824498,1.4455,97481.1628518
13368,1,1,2026-03-08 00:14:00+00:00,67444.29,67461.22,67391.2,67395.99,2628,40.8987,2757415.6790028,6.77285,456626.0519075
13367,1,1,2026-03-08 00:15:00+00:00,67395.99,67434.28,67395.99,67416.25,1363,19.05542,1284583.2302302,12.32944,831035.7416765
13366,1,1,2026-03-08 00:16:00+00:00,67416.26,67427.91,67416.25,67427.91,595,1.93781,130650.4315832,1.31665,88769.275798
13365,1,1,2026-03-08 00:17:00+00:00,67427.91,67427.91,67417.35,67427.91,584,2.34433,158055.940797,1.82692,123171.8442089
13364,1,1,2026-03-08 00:18:00+00:00,67427.91,67427.91,67427.9,67427.91,225,2.0853,140607.4110739,1.12039,75545.5560849
13363,1,1,2026-03-08 00:19:00+00:00,67427.91,67427.91,67386.8,67389.0,2428,55.0288,3708641.0380079,34.64316,2334585.8483813
13362,1,1,2026-03-08 00:20:00+00:00,67389.0,67412.35,67388.99,67412.35,1321,3.65168,246142.8221657,2.36173,159187.7748333
13361,1,1,2026-03-08 00:21:00+00:00,67412.34,67442.0,67412.34,67442.0,1134,5.32368,358976.454118,4.51596,304504.8344155
13360,1,1,2026-03-08 00:22:00+00:00,67442.0,67481.96,67442.0,67475.64,1328,6.43898,434428.5433713,4.56147,307754.3333165
