$id,instrumentId,marketId,timestamp_column,open,high,low,close,tickCount,volume,qaVolume,takerBuyBAVolume,takerBuyQAVolume
4323,1,1,2025-09-18 06:00:00+00:00,117273.37,117338.05,116888.02,117102.43,107426,474.42047,55533801.826744,182.39949,21349889.3852172
4322,1,1,2025-09-18 07:00:00+00:00,117102.43,117208.0,117048.81,117086.01,82798,362.6272,42477740.908109,143.59778,16821004.6421732
4321,1,1,2025-09-18 08:00:00+00:00,117086.01,117413.04,117010.59,117229.59,83080,383.66591,44972839.0687463,199.41111,23376295.3594055
4320,1,1,2025-09-18 09:00:00+00:00,117229.58,117350.0,117107.57,117298.81,66226,260.44715,30535599.9162776,129.04063,15128529.1181132
4319,1,1,2025-09-18 10:00:00+00:00,117298.82,117307.5,117078.72,117190.47,65792,236.63641,27732211.5598279,115.32601,13515268.0567991
4318,1,1,2025-09-18 11:00:00+00:00,117190.48,117300.0,117013.77,117063.4,50221,285.00282,33403616.622819,171.32899,20082077.1564758
4317,1,1,2025-09-18 12:00:00+00:00,117063.41,117279.0,116977.59,117124.69,68078,249.62123,29243079.3203573,131.87004,15449395.9796852
4316,1,1,2025-09-18 13:00:00+00:00,117124.69,117655.55,117004.28,117432.04,169516,647.0176,75932135.739433,340.99079,40020099.7615858
4315,1,1,2025-09-18 14:00:00+00:00,117432.04,117843.83,117400.54,117640.54,129862,711.59459,83729091.9579246,386.67686,45494494.8763162
4314,1,1,2025-09-18 15:00:00+00:00,117640.54,117705.51,117322.41,117583.56,115501,808.09852,94942160.0745494,443.41059,52097684.0011244
4313,1,1,2025-09-18 16:00:00+00:00,117583.56,117789.0,117500.01,117565.6,97959,483.30991,56874993.407188,260.90726,30704433.9336956
4312,1,1,2025-09-18 17:00:00+00:00,117565.59,117765.59,117418.45,117579.93,95614,479.43176,56371217.0310833,237.39362,27911254.7520367
4311,1,1,2025-09-18 18:00:00+00:00,117579.94,117900.0,117512.11,117822.97,93752,474.53821,55896624.9464854,272.4501,32090987.6022783
4310,1,1,2025-09-18 19:00:00+00:00,117822.98,117822.98,117196.33,117450.21,86965,391.34362,45973207.3956216,210.87334,24765994.269673
4309,1,1,2025-09-18 20:00:00+00:00,117450.21,117657.17,117337.95,117521.14,57206,192.47211,22620174.4585813,93.11408,10941748.0676635
4308,1,1,2025-09-18 21:00:00+00:00,117521.14,117521.14,117299.21,117299.21,44826,187.11636,21965787.0541691,67.14775,7882781.41305
4307,1,1,2025-09-18 22:00:00+00:00,117299.21,117334.8,117027.34,117061.02,46471,345.51742,40494476.8069949,124.08087,14545090.7659028
4306,1,1,2025-09-18 23:00:00+00:00,117061.02,117172.21,116612.03,117073.53,99736,650.11136,75977872.9048672,293.11764,34260121.7987641
4305,1,1,2025-09-19 00:00:00+00:00,117073.53,117427.7,117020.0,117424.2,85999,328.86734,38557334.0955841,150.52387,17646832.2331321
4304,1,1,2025-09-19 01:00:00+00:00,117424.21,117459.99,117118.21,117241.32,85005,268.6749,31511678.0616566,101.44573,11897671.7873532
4303,1,1,2025-09-19 02:00:00+00:00,117241.32,117285.99,117044.13,117112.8,66385,395.51641,46324444.2625184,153.28492,17952933.5218642
4302,1,1,2025-09-19 03:00:00+00:00,117112.81,117291.01,116871.61,116977.58,75592,333.32919,39008567.6131979,128.36637,15020430.3235044
4301,1,1,2025-09-19 04:00:00+00:00,116977.58,117100.0,116700.02,116990.65,97091,377.41298,44114269.1006579,160.53357,18764095.614629
4300,1,1,2025-09-19 05:00:00+00:00,116990.65,117010.0,116780.75,116894.83,55901,306.31482,35806906.18857,99.3415,11611323.2122978
4299,1,1,2025-09-19 06:00:00+00:00,116894.83,116894.83,116633.86,116669.75,66096,430.54942,50269840.7270178,122.74531,14331226.1671472
4298,1,1,2025-09-19 07:00:00+00:00,116669.76,116992.81,116665.0,116909.97,62634,423.81384,49524395.0060825,194.04234,22675717.1266664
4297,1,1,2025-09-19 08:00:00+00:00,116909.98,117090.36,116882.47,116915.88,43691,283.85786,33209364.9297422,118.59767,13875322.3728519
4296,1,1,2025-09-19 09:00:00+00:00,116915.88,116979.86,116488.0,116488.0,52612,361.47256,42186188.0280012,108.33042,12644229.1279127
4295,1,1,2025-09-19 10:00:00+00:00,116488.0,116551.54,116434.23,116532.68,58554,289.26548,33696959.2698548,137.17125,15979462.2487309
4294,1,1,2025-09-19 11:00:00+00:00,116532.68,116554.05,116300.0,116394.72,55771,309.23241,35997718.577512,121.91291,14191940.8862263
4293,1,1,2025-09-19 12:00:00+00:00,116394.72,116529.08,116133.66,116162.45,72641,488.73837,56822193.8421223,227.92794,26499190.8352676
4292,1,1,2025-09-19 13:00:00+00:00,116162.45,116465.35,116075.0,116284.64,108872,435.12378,50577860.7025559,226.85468,26370935.6243339
4291,1,1,2025-09-19 14:00:00+00:00,116284.63,116479.11,115800.0,115899.99,133279,846.39402,98288690.4738765,382.87946,44460242.3549542
4290,1,1,2025-09-19 15:00:00+00:00,115899.99,115952.95,115464.19,115884.03,151353,887.61948,102689255.2087438,455.47426,52693762.0554148
4289,1,1,2025-09-19 16:00:00+00:00,115884.03,116136.0,115800.0,116088.68,73338,355.37234,41210580.2956649,213.38705,24745177.3164463
